15189;Soeurette la renarde et le loup II;;;1;15;;1;;2;;3;;158;;4;;;;;;2-4/1 b;2
15190;Le traîneau de la renarde;;;1;158;;2;;21;;0;;0;;0;;;;;;3-7/1 e;2
15191;La renarde-sage-femme;;;1;43;;15;;0;;0;;0;;0;;;;;;4-12/2 d;2
15192;L'isba de glace et l'isba de bois;;;1;43;;15;;1;;2;;0;;0;;;;;;5-10/2 b;2
15193;La renarde, le liévre et le coq;;;1;43;;0;;0;;0;;0;;0;;;;;;6-14/3;2
15194;La renarde-confesseur;;;1;61;A;0;;0;;0;;0;;0;;;;;;7-16/4 b;2
15195;La renarde guérisseuse;;;1;1889;K;218;B;37;;0;;0;;0;;;;;;8-18/5;2
15196;Le vieux au ciel;;;1;218;B;0;;0;;0;;0;;0;;;;;;9-20/5;2
15197;La renarde pleureuse;;;1;218;B;1889;K;37;;154;;0;;0;;;;;;10-21/6 a;2
15198;Le paysan, l'ours et la renarde;;;1;1030;;154;;0;;0;;0;;0;;;;;;11-24/7 b;2
15199;Rien ne s'oublie aussi vite qu'un service rendu;;;1;155;;0;;0;;0;;0;;0;;;;;;12-27/8;2
15200;La brebis, la renarde et le loup;;;1;44;;0;;0;;0;;0;;0;;;;;;13-28/9;2
15201;Les bêtes dans le fossé;;;1;20;A;21;;248;A;0;;0;;0;;;;;;14-30/10 b;2
15202;Sniégourouchka et la renarde;;;1;703;;0;;0;;0;;0;;0;;;;;;15-34/14;2
15203;La petite galette ronde;;;1;2025;;0;;0;;0;;0;;0;;;;;;16-36/16;2
15204;Le chat, le coq et la renarde 1;;;1;61;B;0;;0;;0;;0;;0;;;;;;17-37/17 a;2
15205;Le chat, le coq et la renarde II;;;1;61;B;0;;0;;0;;0;;0;;;;;;18-38/17 b;2
15206;Le mariage du chat et de la renarde;;;1;103;;0;;0;;0;;0;;0;;;;;;19-40/18;2
15207;L'ours et les loups effrayés;;;1;125;;103;;0;;0;;0;;0;;;;;;20-44/19 a;2
15208;Le loup;;;1;163;;0;;0;;0;;0;;0;;;;;;21-49/21 a;2
15209;Le loup et la chèvre;;;1;123;;0;;0;;0;;0;;0;;;;;;22-54/23 b;2
15210;Le loup idiot 1;;;1;122;A;47;B;122;M;0;;0;;0;;;;;;23-55/24 a;2
15211;Le loup idiot II;;;1;122;A;122;M;121;;0;;0;;0;;;;;;24-56/24 b;2
15212;L'ours;;;1;1610;A;0;;0;;0;;0;;0;;;;;;25-57/25 a;2
15213;La chèvre;;;1;2015;;0;;0;;0;;0;;0;;;;;;26-60/27 a;2
15214;La chèvre écorchée;;;1;212;;0;;0;;0;;0;;0;;;;;;27-62/28;2
15215;Les bêtes se construisent une isba;;;1;130;;130;A;0;;0;;0;;0;;;;;;28-64/30;2
15216;La chienne et le pivert;;;1;248;;0;;0;;0;;0;;0;;;;;;29-67/32 b;2
15217;Le coq et la poule;;;1;2021;B;0;;0;;0;;0;;0;;;;;;30-68/33;2
15218;La mort du coq;;;1;2021;A;0;;0;;0;;0;;0;;;;;;31-69/34;2
15219;La poulette;;;1;2022;B;0;;0;;0;;0;;0;;;;;;32-70/35 a;2
15220;Le héron et la cigogne;;;1;244;A;0;;0;;0;;0;;0;;;;;;33-72/36;2
15221;La vieille avide;;;1;555;;0;;0;;0;;0;;0;;;;;;34-76/40;2
15222;Grémillon-fils de la Brosse;;;1;254;;0;;0;;0;;0;;0;;;;;;35-77/41 a;2
15223;La haute demeure;;;1;283;B;0;;0;;0;;0;;0;;;;;;36-83/43 b;2
15224;La tarentule;;;1;283;A;0;;0;;0;;0;;0;;;;;;37-85/44 a;2
15225;Les champignons;;;1;297;B;0;;0;;0;;0;;0;;;;;;38-90/47;2
15226;Le Soleil, le Gel et le Vent (biélorusse);;;1;298;A;0;;0;;0;;0;;0;;;;;;39-91/48;2
15227;Le Soleil, le Croissant de Lune et Corbeau du Corbeau;;;1;552;B;0;;0;;0;;0;;0;;;;;;40-92/49;2
15228;La sorciére et la soeur-soleil;;;1;313;J;313;H;0;;0;;0;;0;;;;;;41-93/50;2
15229;Le Gel craquant;;;1;480;;0;;0;;0;;0;;0;;;;;;42-95/52 a;2
15230;La jeune fille et l'ours (biélorusse);;;1;480;;0;;0;;0;;0;;0;;;;;;43-557/54 R;2
15231;La téte de jument(ukrainien);;;1;480;;0;;0;;0;;0;;0;;;;;;44-99/55;2
15232;Petite miette;;;1;511;;0;;0;;0;;0;;0;;;;;;45-100/56;2
15233;La baba Yaga;;;1;480;A;313;H;0;;0;;0;;0;;;;;;46-103/58 b;2
15234;Vassilissa la Belle;;;1;480;B;0;;0;;0;;0;;0;;;;;;47-104/59;2
15235;La baba Yaga et Petit Bout;;;1;327;B;0;;0;;0;;0;;0;;;;;;48-105/60;2
15236;Ivachko et la sorciére;;;1;327;C;327;F;0;;0;;0;;0;;;;;;49-108/62 a;2
15237;Les oies sauvages;;;1;480;A;0;;0;;0;;0;;0;;;;;;50-113/64;2
15238;Prince Daniel-mots de miel;;;1;313;E;327;A;313;H;0;;0;;0;;;;;;51-114/65;2
15239;La vérité et le mensonge;;;1;613;;0;;0;;0;;0;;0;;;;;;52-115/66 a;2
15240;L'assemblée des diables;;;1;613;;0;;0;;0;;0;;0;;;;;;53-119/66 c;2
15241;Ivan-tsariévitch et le géant Nikanor;;;1;502;;0;;0;;0;;0;;0;;;;;;54-124/67 b;2
15242;Les trois royaumes II;;;1;301;;0;;0;;0;;0;;0;;;;;;55-129/71 b;2
15243;Les trois royaumes III;;;1;301;;0;;0;;0;;0;;0;;;;;;56-130/71 e;2
15244;Roule-Petit-Pois II (biélorusse);;;1;312;D;300;A;0;;0;;0;;0;;;;;;57-134/74 b;2
15245;Vassilissa é la tresse d'or et Ivan-le-Pois;;;1;312;D;0;;0;;0;;0;;0;;;;;;58-560/74 R;2
15246;Ivan-Taurillon;;;1;300;A;513;A;0;;0;;0;;0;;;;;;59-137/77;2
15247;Ivan-fils de chienne et le Blanc Guerrier de la steppe;;;1;301;;0;;0;;0;;0;;0;;;;;;60-139/79;2
15248;Ivachko-Ourseau;;;1;301;;0;;0;;0;;0;;0;;;;;;61-141/81 a;2
15249;Le navire volant;;;1;513;B;0;;0;;0;;0;;0;;;;;;62-144/83;2
15250;Les sept Siméon ll;;;1;653;;1880;;0;;0;;0;;0;;;;;;63-146/84 b;2
15251;Le dragon et le tsigane;;;1;1060;;1084;;1053;A;1049;;1149;;0;;;;;;64-149/86;2
15252;Le valet;;;1;650;A;1045;;1132;;1120;;0;;0;;;;;;65-150/87;2
15253;Ivanko-Ourseau;;;1;650;A;1006;;1009;;1045;;1072;;1063;;1082;;1130;;66-152/89;2
15254;Le soldat délivre la princesse;;;1;1061;;1060;;1162;;300;;0;;0;;;;;;67-153/90;2
15255;Les deux Ivan-fils de soldat;;;1;303;;0;;0;;0;;0;;0;;;;;;68-155/92;2
15256;La Belle des Belles;;;1;302;;400;;0;;0;;0;;0;;;;;;69-157/93 b;2
15257;Marie de l'Onde;;;1;552;A;400;;554;;302;;0;;0;;;;;;70-159/94;2
15258;Les princesses Lune et étoile;;;1;552;A;518;;0;;0;;0;;0;;;;;;71-562/95 R;2
15259;Ivan-tsariévitch et le Blanc Guerrier de la plaine;;;1;301;;0;;0;;0;;0;;0;;;;;;72-161/96;2
15260;Kuzma-le-Tôt-Riche;;;1;545;B;0;;0;;0;;0;;0;;;;;;73-164/99;2
15261;émélia l'Idiot;;;1;675;;0;;0;;0;;0;;0;;;;;;74-165/100 a;2
15262;L'oiselle de feu et le loup gris;;;1;550;;0;;0;;0;;0;;0;;;;;;75-168/102;2
15263;L'oiselle de feu et la Fille-Roi;;;1;531;;0;;0;;0;;0;;0;;;;;;76-170/103 b;2
